ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
2013,DI-Parroquia Macarao,DI,DISTRITO CAPITAL, Parroquia Macarao , 137 , 95 , 42 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia San Agustín,DI,DISTRITO CAPITAL, Parroquia San Agustín , 127 , 86 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia San Bernardino,DI,DISTRITO CAPITAL, Parroquia San Bernardino ," 1,091 ", 578 , 513 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia San José,DI,DISTRITO CAPITAL, Parroquia San José , 656 , 316 , 340 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia San Juan,DI,DISTRITO CAPITAL, Parroquia San Juan ," 2,344 "," 1,341 "," 1,003 ",,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia San Pedro,DI,DISTRITO CAPITAL, Parroquia San Pedro ," 2,167 "," 1,199 ", 968 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Santa Rosalía,DI,DISTRITO CAPITAL, Parroquia Santa Rosalía , 694 , 378 , 316 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Santa Teresa,DI,DISTRITO CAPITAL, Parroquia Santa Teresa , 59 , 45 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Sucre,DI,DISTRITO CAPITAL, Parroquia Sucre ," 1,493 ", 977 , 516 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DI-Parroquia Veintitrés de Enero,DI,DISTRITO CAPITAL, Parroquia Veintitrés de Enero , 459 , 274 , 185 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Alto Orinoco,AM,AMAZONAS, Municipio Autónomo Alto Orinoco , 4 , 1 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Atabapo,AM,AMAZONAS, Municipio Autónomo Atabapo , 11 , 6 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Atures,AM,AMAZONAS, Municipio Autónomo Atures , 584 , 356 , 228 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Autana,AM,AMAZONAS, Municipio Autónomo Autana , 7 , 4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Manapiare,AM,AMAZONAS, Municipio Autónomo Manapiare , 7 , 5 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Maroa,AM,AMAZONAS, Municipio Autónomo Maroa , 3 , - , 3 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AM-Municipio Autónomo Río Negro,AM,AMAZONAS, Municipio Autónomo Río Negro , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Anaco,AN,ANZOATEGUI, Municipio Anaco , 364 , 212 , 152 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Aragua,AN,ANZOATEGUI, Municipio Aragua , 64 , 38 , 26 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Diego Bautista Urbaneja,AN,ANZOATEGUI, Municipio Diego Bautista Urbaneja , 197 , 109 , 88 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Fernando Peñalver,AN,ANZOATEGUI, Municipio Fernando Peñalver , 72 , 47 , 25 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Francisco de Miranda,AN,ANZOATEGUI, Municipio Francisco de Miranda , 142 , 91 , 51 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Francisco del Carmen Carvajal,AN,ANZOATEGUI, Municipio Francisco del Carmen Carvajal , 37 , 21 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Guanta,AN,ANZOATEGUI, Municipio Guanta , 58 , 37 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Independencia,AN,ANZOATEGUI, Municipio Independencia , 72 , 54 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio José Gregorio Monagas,AN,ANZOATEGUI, Municipio José Gregorio Monagas , 53 , 33 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Juan Antonio Sotillo,AN,ANZOATEGUI, Municipio Juan Antonio Sotillo , 691 , 422 , 269 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Juan Manuel Cajigal,AN,ANZOATEGUI, Municipio Juan Manuel Cajigal , 30 , 23 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Libertad,AN,ANZOATEGUI, Municipio Libertad , 26 , 13 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Manuel Ezequiel Bruzual,AN,ANZOATEGUI, Municipio Manuel Ezequiel Bruzual , 97 , 61 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Pedro María Freites,AN,ANZOATEGUI, Municipio Pedro María Freites , 321 , 199 , 122 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Píritu,AN,ANZOATEGUI, Municipio Píritu , 80 , 48 , 32 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio San José de Guanipa,AN,ANZOATEGUI, Municipio San José de Guanipa , 204 , 125 , 79 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio San Juan de Capistrano,AN,ANZOATEGUI, Municipio San Juan de Capistrano , 29 , 21 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Santa Ana,AN,ANZOATEGUI, Municipio Santa Ana , 20 , 17 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Simón Bolívar,AN,ANZOATEGUI, Municipio Simón Bolívar ," 2,503 "," 1,509 ", 994 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Simón Rodríguez,AN,ANZOATEGUI, Municipio Simón Rodríguez , 946 , 559 , 387 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AN-Municipio Sir Artur Mc. Gregor,AN,ANZOATEGUI, Municipio Sir Artur Mc. Gregor , 26 , 17 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Achaguas,AP,APURE, Municipio Achaguas , 180 , 109 , 71 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Biruaca,AP,APURE, Municipio Biruaca , 81 , 58 , 23 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Muños,AP,APURE, Municipio Muños , 27 , 15 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Páez,AP,APURE, Municipio Páez , 289 , 182 , 107 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Pedro Camejo,AP,APURE, Municipio Pedro Camejo , 43 , 26 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio Rómulo Gallegos,AP,APURE, Municipio Rómulo Gallegos , 76 , 52 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AP-Municipio San Fernando,AP,APURE, Municipio San Fernando ," 1,201 ", 709 , 492 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Bolívar,AR,ARAGUA, Municipio Bolívar , 161 , 108 , 53 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Camatagua,AR,ARAGUA, Municipio Camatagua , 77 , 56 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Francisco Linares Alcántara,AR,ARAGUA, Municipio Francisco Linares Alcántara , 308 , 223 , 85 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Girardot,AR,ARAGUA, Municipio Girardot ," 4,823 "," 2,759 "," 2,064 ",,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio José Ángel Lamas,AR,ARAGUA, Municipio José Ángel Lamas , 111 , 74 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio José Félix Rivas,AR,ARAGUA, Municipio José Félix Rivas , 913 , 567 , 346 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio José Rafael Revenga,AR,ARAGUA, Municipio José Rafael Revenga , 150 , 99 , 51 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Libertador,AR,ARAGUA, Municipio Libertador , 448 , 279 , 169 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Mario Briceño Iragorry,AR,ARAGUA, Municipio Mario Briceño Iragorry , 311 , 188 , 123 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Ocumare de la Costa,AR,ARAGUA, Municipio Ocumare de la Costa , 49 , 39 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio San Casimiro,AR,ARAGUA, Municipio San Casimiro , 118 , 84 , 34 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio San Sebastián,AR,ARAGUA, Municipio San Sebastián , 62 , 46 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Santiago Mariño,AR,ARAGUA, Municipio Santiago Mariño , 598 , 374 , 224 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Santos Michelena,AR,ARAGUA, Municipio Santos Michelena , 147 , 111 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Sucre,AR,ARAGUA, Municipio Sucre , 545 , 351 , 194 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Tovar,AR,ARAGUA, Municipio Tovar , 37 , 27 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Urdaneta,AR,ARAGUA, Municipio Urdaneta , 65 , 43 , 22 ,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-Municipio Zamora,AR,ARAGUA, Municipio Zamora , 600 , 406 , 194 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Alberto Arvelo Torrealba,BA,BARINAS, Municipio Alberto Arvelo Torrealba , 124 , 84 , 40 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Andres Eloy Blanco,BA,BARINAS, Municipio Andres Eloy Blanco , 48 , 31 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Antonio José de Sucre,BA,BARINAS, Municipio Antonio José de Sucre , 285 , 194 , 91 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Arismendi,BA,BARINAS, Municipio Arismendi , 48 , 30 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Barinas,BA,BARINAS, Municipio Barinas ," 2,535 "," 1,613 ", 922 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Bolívar,BA,BARINAS, Municipio Bolívar , 163 , 105 , 58 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Cruz Paredes,BA,BARINAS, Municipio Cruz Paredes , 83 , 59 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Ezequiel Zamora,BA,BARINAS, Municipio Ezequiel Zamora , 224 , 152 , 72 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Obispos,BA,BARINAS, Municipio Obispos , 99 , 78 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Pedraza,BA,BARINAS, Municipio Pedraza , 160 , 102 , 58 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Rojas,BA,BARINAS, Municipio Rojas , 113 , 71 , 42 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BA-Municipio Sosa,BA,BARINAS, Municipio Sosa , 48 , 27 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Caroni,BO,BOLIVAR, Municipio Caroni ," 4,070 "," 2,637 "," 1,433 ",,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Cedeño,BO,BOLIVAR, Municipio Cedeño , 213 , 144 , 69 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio El Callao,BO,BOLIVAR, Municipio El Callao , 134 , 93 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Gran Sabana,BO,BOLIVAR, Municipio Gran Sabana , 62 , 41 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Heres,BO,BOLIVAR, Municipio Heres ," 2,303 "," 1,364 ", 939 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Padre Pedro Chien,BO,BOLIVAR, Municipio Padre Pedro Chien , 36 , 24 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Piar,BO,BOLIVAR, Municipio Piar , 496 , 309 , 187 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Raúl leoni,BO,BOLIVAR, Municipio Raúl leoni , 51 , 37 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Roscio,BO,BOLIVAR, Municipio Roscio , 101 , 69 , 32 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Sifontes,BO,BOLIVAR, Municipio Sifontes , 181 , 126 , 55 ,,,,,,,,,,,,,,,,,,,,,,,
2013,BO-Municipio Sucre,BO,BOLIVAR, Municipio Sucre , 15 , 9 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Bejuma,CA,CARABOBO, Municipio Bejuma , 342 , 203 , 139 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Carlos Arvelo,CA,CARABOBO, Municipio Carlos Arvelo , 562 , 385 , 177 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Diego Ibarra,CA,CARABOBO, Municipio Diego Ibarra , 534 , 366 , 168 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Guacara,CA,CARABOBO, Municipio Guacara , 657 , 417 , 240 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Juan José Mora,CA,CARABOBO, Municipio Juan José Mora , 251 , 174 , 77 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Libertador,CA,CARABOBO, Municipio Libertador , 620 , 420 , 200 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Los Guayos,CA,CARABOBO, Municipio Los Guayos , 357 , 233 , 124 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Miranda,CA,CARABOBO, Municipio Miranda , 80 , 62 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Montalbán,CA,CARABOBO, Municipio Montalbán , 84 , 47 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Naguanagua,CA,CARABOBO, Municipio Naguanagua ," 1,923 "," 1,073 ", 850 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Puerto Cabello,CA,CARABOBO, Municipio Puerto Cabello ," 1,282 ", 786 , 496 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio San Diego,CA,CARABOBO, Municipio San Diego , 382 , 216 , 166 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio San Joaquín,CA,CARABOBO, Municipio San Joaquín , 171 , 107 , 64 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-Municipio Valencia,CA,CARABOBO, Municipio Valencia ," 5,637 "," 3,479 "," 2,158 ",,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Anzoátegui,CO,COJEDES, Municipio Anzoátegui , 27 , 21 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Falcón,CO,COJEDES, Municipio Falcón , 442 , 283 , 159 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Girardot,CO,COJEDES, Municipio Girardot , 35 , 24 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Lima Blanco,CO,COJEDES, Municipio Lima Blanco , 29 , 11 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Pao de San Juan  Bautista,CO,COJEDES, Municipio Pao de San Juan  Bautista , 43 , 32 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Ricaurte,CO,COJEDES, Municipio Ricaurte , 43 , 32 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Rómulo Gallegos,CO,COJEDES, Municipio Rómulo Gallegos , 34 , 25 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio San Carlos,CO,COJEDES, Municipio San Carlos , 847 , 530 , 317 ,,,,,,,,,,,,,,,,,,,,,,,
2013,CO-Municipio Tinaco,CO,COJEDES, Municipio Tinaco , 120 , 81 , 39 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DE-Municipio Antonio Díaz,DE,DELTA AMACURO, Municipio Antonio Díaz , 54 , 33 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DE-Municipio Casacoima,DE,DELTA AMACURO, Municipio Casacoima , 66 , 50 , 16 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DE-Municipio Pedernales,DE,DELTA AMACURO, Municipio Pedernales , 32 , 15 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,DE-Municipio Tucupita,DE,DELTA AMACURO, Municipio Tucupita , 550 , 336 , 214 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Acosta,FA,FALCON, Municipio Acosta , 16 , 9 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Bolívar,FA,FALCON, Municipio Bolívar , 22 , 14 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Buchivacoa,FA,FALCON, Municipio Buchivacoa , 52 , 30 , 22 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Cacique Manaure,FA,FALCON, Municipio Cacique Manaure , 34 , 24 , 10 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Carirubana,FA,FALCON, Municipio Carirubana ," 1,083 ", 614 , 469 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Colina,FA,FALCON, Municipio Colina , 15 , 8 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Dabajuro,FA,FALCON, Municipio Dabajuro , 68 , 40 , 28 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Democracia,FA,FALCON, Municipio Democracia , 27 , 13 , 14 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Falcón,FA,FALCON, Municipio Falcón , 124 , 83 , 41 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Federación,FA,FALCON, Municipio Federación , 98 , 51 , 47 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Jacura,FA,FALCON, Municipio Jacura , 10 , 6 , 4 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Los Taques,FA,FALCON, Municipio Los Taques , 48 , 30 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Mauroa,FA,FALCON, Municipio Mauroa , 94 , 56 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Miranda,FA,FALCON, Municipio Miranda ," 1,501 ", 816 , 685 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Monseñor Iturriza,FA,FALCON, Municipio Monseñor Iturriza , 86 , 56 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Palmasola,FA,FALCON, Municipio Palmasola , 4 , 2 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Petit,FA,FALCON, Municipio Petit , 29 , 16 , 13 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Píritu,FA,FALCON, Municipio Píritu , 2 , - , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio San Francisco,FA,FALCON, Municipio San Francisco , 40 , 22 , 18 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Silva,FA,FALCON, Municipio Silva , 178 , 122 , 56 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Sucre,FA,FALCON, Municipio Sucre , 23 , 12 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Tocopero,FA,FALCON, Municipio Tocopero , 19 , 13 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Unión,FA,FALCON, Municipio Unión , 33 , 21 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Urumaco,FA,FALCON, Municipio Urumaco , 12 , 6 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2013,FA-Municipio Zamora,FA,FALCON, Municipio Zamora , 7 , 5 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Camaguán,GU,GUARICO, Municipio Camaguán , 73 , 43 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Chaguaramas,GU,GUARICO, Municipio Chaguaramas , 40 , 31 , 9 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio El Socorro,GU,GUARICO, Municipio El Socorro , 59 , 40 , 19 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Guayabal,GU,GUARICO, Municipio Guayabal , 40 , 19 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Infante,GU,GUARICO, Municipio Infante , 825 , 506 , 319 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Las Mercedes,GU,GUARICO, Municipio Las Mercedes , 116 , 78 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Mellado,GU,GUARICO, Municipio Mellado , 128 , 92 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Miranda,GU,GUARICO, Municipio Miranda , 675 , 422 , 253 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Monagas,GU,GUARICO, Municipio Monagas , 391 , 252 , 139 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Ortiz,GU,GUARICO, Municipio Ortiz , 68 , 51 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Ribas,GU,GUARICO, Municipio Ribas , 104 , 65 , 39 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Roscio,GU,GUARICO, Municipio Roscio ," 1,282 ", 790 , 492 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio San José de Guaribe,GU,GUARICO, Municipio San José de Guaribe , 34 , 22 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Santa Maria de Ipire,GU,GUARICO, Municipio Santa Maria de Ipire , 43 , 32 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,GU-Municipio Zaraza,GU,GUARICO, Municipio Zaraza , 327 , 220 , 107 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Andrés Eloy Blanco,LA,LARA, Municipio Andrés Eloy Blanco , 139 , 95 , 44 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Crespo,LA,LARA, Municipio Crespo , 166 , 103 , 63 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Iribarren,LA,LARA, Municipio Iribarren ," 7,333 "," 4,339 "," 2,994 ",,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Jiménez,LA,LARA, Municipio Jiménez , 360 , 241 , 119 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Moran,LA,LARA, Municipio Moran , 387 , 234 , 153 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Palavecino,LA,LARA, Municipio Palavecino , 428 , 247 , 181 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Simón Planas,LA,LARA, Municipio Simón Planas , 105 , 75 , 30 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Torres,LA,LARA, Municipio Torres , 694 , 417 , 277 ,,,,,,,,,,,,,,,,,,,,,,,
2013,LA-Municipio Urdaneta,LA,LARA, Municipio Urdaneta , 163 , 101 , 62 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Alberto Adrián,ME,MERIDA, Municipio Alberto Adrián , 612 , 385 , 227 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Andrés Bello,ME,MERIDA, Municipio Andrés Bello , 36 , 19 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Antonio Pinto Salinas,ME,MERIDA, Municipio Antonio Pinto Salinas , 83 , 47 , 36 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Aricagua,ME,MERIDA, Municipio Aricagua , 14 , 8 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Arzobispo Chacón,ME,MERIDA, Municipio Arzobispo Chacón , 51 , 34 , 17 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Campo  Elías,ME,MERIDA, Municipio Campo  Elías , 271 , 172 , 99 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Cardenal Quintero,ME,MERIDA, Municipio Cardenal Quintero , 43 , 32 , 11 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Carracciolo Parra Olmedo,ME,MERIDA, Municipio Carracciolo Parra Olmedo , 113 , 76 , 37 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Guaraque,ME,MERIDA, Municipio Guaraque , 37 , 16 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Julio Cesar Salas,ME,MERIDA, Municipio Julio Cesar Salas , 49 , 29 , 20 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Justo Briceño,ME,MERIDA, Municipio Justo Briceño , 12 , 11 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Libertador,ME,MERIDA, Municipio Libertador ," 2,461 "," 1,432 "," 1,029 ",,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Miranda,ME,MERIDA, Municipio Miranda , 68 , 42 , 26 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Obispo Ramos de Lora,ME,MERIDA, Municipio Obispo Ramos de Lora , 77 , 53 , 24 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Padre Noguera,ME,MERIDA, Municipio Padre Noguera , 7 , 5 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Pueblo Llano,ME,MERIDA, Municipio Pueblo Llano , 36 , 24 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Rangel,ME,MERIDA, Municipio Rangel , 70 , 43 , 27 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Rivas Dávila,ME,MERIDA, Municipio Rivas Dávila , 67 , 40 , 27 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Santos Marquina,ME,MERIDA, Municipio Santos Marquina , 52 , 31 , 21 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Sucre,ME,MERIDA, Municipio Sucre , 189 , 133 , 56 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Tovar,ME,MERIDA, Municipio Tovar , 197 , 111 , 86 ,,,,,,,,,,,,,,,,,,,,,,,
2013,ME-Municipio Tulio Febres Cordero,ME,MERIDA, Municipio Tulio Febres Cordero , 93 , 55 , 38 ,,,,,,,,,,,,,,,,,,,,,,,
